Kraj,Počet obyvatel - koncový stav,Počet obyvatel - střední stav,Sňatky,Rozvody,Živě narození,z toho mimo manželství,Zemřelí,z toho do 1 roku,Přirozený přírůstek/úbytek,Přistěhovalí,z toho z ciziny,Vystěhovalí,z toho do ciziny,Přírůstek/úbytek stěhováním,z toho s cizinou,Celkový přírůstek/úbytek
Hlavní město Praha,1275406,1267173,5704,2404,15157,6142,14460,28,697,46989,24358,31693,6420,15296,17938,15993
Středočeský kraj,1386824,1380006,5660,3177,15111,7148,16708,23,-1597,34482,9645,18649,2639,15833,7006,14236
Jihočeský kraj,637047,636286,2656,1276,6699,3334,8350,10,-1651,7173,2906,4897,723,2276,2183,625
Plzeňský kraj,578707,577190,2654,1149,5933,2945,7912,13,-1979,8907,4934,4579,1294,4328,3640,2349
Karlovarský kraj,283210,283677,1313,633,2619,1604,4592,6,-1973,3335,1309,3172,489,163,820,-1810
Ústecký kraj,798898,799495,3616,1619,7886,4969,11775,27,-3889,8305,2982,7104,806,1201,2176,-2688
Liberecký kraj,437570,437131,1949,929,4386,2381,5880,11,-1494,5889,2461,4347,507,1542,1954,48
Královéhradecký kraj,542583,542892,2272,1068,5537,2875,7668,13,-2131,5802,1898,5293,799,509,1099,-1622
Pardubický kraj,514518,513894,2309,955,5421,2644,6991,8,-1570,6882,2945,5207,1078,1675,1867,105
Kraj Vysočina,504025,503738,2262,863,5547,2538,6438,19,-891,5297,1807,4385,466,912,1341,21
Jihomoravský kraj,1184568,1182488,5348,2392,13085,5673,15246,23,-2161,14559,7546,9046,2116,5513,5430,3352
Olomoucký kraj,622930,623686,2795,1237,6394,3253,8562,20,-2168,5044,1210,4877,496,167,714,-2001
Zlínský kraj,572432,573014,2651,1087,6040,2604,7984,17,-1944,4833,1931,4175,480,658,1451,-1286
Moravskoslezský kraj,1177989,1180180,5589,2318,11978,6093,17325,28,-5347,6933,3269,7037,919,-104,2350,-5451
