Měsíc,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
leden,9569.0,9625.0,10357.0,9127.0,10893.0,9516,12359.0,9639.0,10448.0,10226.0,16211.0,11034.0,11440.0,10609
únor,9121.0,9394.0,9600.0,8276.0,10613.0,9057,10009.0,10212.0,9833.0,9802.0,13820.0,10388.0,9185.0,9860
březen,9704.0,9911.0,10280.0,9332.0,10117.0,9623,9649.0,12053.0,9917.0,10219.0,16789.0,10695.0,9925.0,9222
duben,8800.0,9410.0,9566.0,8654.0,9261.0,8884,8751.0,9314.0,9086.0,9279.0,11699.0,9963.0,9122.0,8691
květen,8670.0,8840.0,8762.0,8604.0,8845.0,8821,8921.0,8814.0,9035.0,8795.0,9557.0,9236.0,8816.0,8715
červen,8130.0,8479.0,8565.0,8243.0,8049.0,8381,8399.0,8362.0,8821.0,8847.0,8628.0,8748.0,8509.0,8678
červenec,8535.0,8772.0,8954.0,8779.0,9047.0,8578,8367.0,9130.0,9104.0,9178.0,8814.0,9219.0,8580.0,8955
srpen,8646.0,8530.0,8377.0,8443.0,9328.0,8510,8655.0,9109.0,9017.0,9379.0,8714.0,9477.0,8929.0,9095
září,8183.0,8247.0,8213.0,8579.0,8302.0,8193,8583.0,8535.0,8673.0,9459.0,8932.0,9564.0,8362.0,9056
říjen,9097.0,8859.0,8818.0,9130.0,9123.0,9128,9410.0,9161.0,9445.0,14189.0,10101.0,10232.0,9510.0,9964
listopad,8836.0,8627.0,8506.0,8592.0,8595.0,8798,8857.0,8893.0,9238.0,15751.0,12815.0,9491.0,9594.0,9183
prosinec,9557.0,9495.0,9162.0,9906.0,9000.0,10261,9483.0,9698.0,9745.0,14165.0,13811.0,12172.0,10823.0,10183
