Měsíc,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
leden,539.0,583.0,664.0,546.0,632.0,544,776.0,600.0,648.0,642.0,907.0,668.0,701.0,707
únor,588.0,562.0,548.0,541.0,737.0,513,624.0,621.0,630.0,640.0,749.0,639.0,537.0,596
březen,622.0,585.0,587.0,552.0,625.0,623,536.0,669.0,600.0,646.0,1019.0,695.0,604.0,548
duben,518.0,531.0,593.0,527.0,588.0,547,506.0,557.0,525.0,565.0,733.0,604.0,535.0,492
květen,516.0,563.0,512.0,519.0,592.0,532,515.0,491.0,521.0,527.0,587.0,606.0,547.0,505
červen,496.0,494.0,498.0,530.0,525.0,511,547.0,501.0,509.0,488.0,507.0,541.0,500.0,509
červenec,486.0,513.0,529.0,537.0,547.0,474,504.0,504.0,561.0,515.0,570.0,569.0,565.0,569
srpen,572.0,525.0,519.0,473.0,553.0,499,527.0,522.0,570.0,548.0,537.0,559.0,550.0,582
září,450.0,494.0,473.0,504.0,511.0,504,534.0,497.0,489.0,573.0,539.0,564.0,540.0,601
říjen,498.0,567.0,568.0,583.0,524.0,575,601.0,602.0,615.0,868.0,646.0,653.0,596.0,652
listopad,511.0,501.0,516.0,531.0,527.0,478,528.0,543.0,595.0,1006.0,757.0,563.0,607.0,564
prosinec,578.0,586.0,597.0,585.0,572.0,643,554.0,589.0,622.0,782.0,799.0,755.0,657.0,613
