Měsíc,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
leden,1016.0,1033.0,1146.0,1005.0,1186.0,1080,1381.0,1079.0,1204.0,1156.0,1694.0,1227.0,1259.0,1134
únor,963.0,1015.0,1014.0,881.0,1175.0,967,1096.0,1072.0,1029.0,996.0,1292.0,1193.0,1019.0,1056
březen,1047.0,1073.0,1025.0,992.0,1091.0,1039,1147.0,1324.0,1094.0,1108.0,1741.0,1224.0,1112.0,1026
duben,945.0,1018.0,967.0,948.0,1032.0,949,958.0,1054.0,945.0,996.0,1311.0,1093.0,991.0,968
květen,960.0,968.0,933.0,955.0,953.0,973,994.0,1006.0,952.0,942.0,1031.0,1031.0,961.0,940
červen,897.0,943.0,910.0,861.0,821.0,890,883.0,926.0,960.0,951.0,954.0,953.0,881.0,964
červenec,903.0,997.0,941.0,946.0,1010.0,952,960.0,931.0,967.0,1023.0,989.0,1030.0,951.0,973
srpen,904.0,845.0,937.0,914.0,1025.0,944,968.0,1048.0,990.0,996.0,932.0,1042.0,950.0,988
září,868.0,899.0,883.0,928.0,903.0,917,929.0,957.0,911.0,983.0,966.0,1048.0,945.0,988
říjen,1027.0,977.0,911.0,999.0,1021.0,997,995.0,1043.0,1069.0,1615.0,1165.0,1133.0,1057.0,1096
listopad,932.0,949.0,940.0,886.0,939.0,963,952.0,1012.0,1004.0,1766.0,1579.0,1045.0,1041.0,966
prosinec,1004.0,992.0,1022.0,1084.0,950.0,1067,1012.0,1090.0,1065.0,1483.0,1592.0,1325.0,1159.0,1140
