Měsíc,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
leden,302.0,260.0,304.0,278.0,312.0,254,364.0,296.0,317.0,311.0,688.0,299.0,340.0,321
únor,249.0,257.0,267.0,256.0,304.0,284,340.0,348.0,283.0,342.0,850.0,325.0,286.0,300
březen,262.0,290.0,305.0,261.0,331.0,278,283.0,370.0,316.0,314.0,516.0,309.0,324.0,268
duben,247.0,268.0,292.0,251.0,264.0,264,249.0,265.0,267.0,305.0,301.0,275.0,261.0,271
květen,248.0,219.0,256.0,229.0,260.0,270,275.0,276.0,267.0,284.0,266.0,246.0,259.0,248
červen,249.0,253.0,239.0,236.0,240.0,266,270.0,250.0,277.0,259.0,208.0,313.0,258.0,264
červenec,252.0,246.0,267.0,277.0,268.0,239,257.0,309.0,285.0,287.0,245.0,266.0,264.0,271
srpen,235.0,235.0,227.0,263.0,269.0,211,262.0,273.0,253.0,266.0,269.0,280.0,250.0,256
září,254.0,238.0,240.0,276.0,236.0,251,256.0,241.0,266.0,297.0,251.0,296.0,233.0,282
říjen,272.0,278.0,283.0,275.0,269.0,276,273.0,296.0,265.0,497.0,277.0,301.0,289.0,313
listopad,236.0,253.0,246.0,249.0,266.0,261,255.0,249.0,296.0,494.0,347.0,293.0,285.0,284
prosinec,274.0,275.0,260.0,300.0,249.0,313,322.0,318.0,313.0,370.0,374.0,324.0,297.0,323
