Měsíc,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
leden,499.0,518.0,603.0,468.0,568.0,528,640.0,542.0,539.0,589.0,1057.0,547.0,647.0,585
únor,489.0,496.0,482.0,483.0,527.0,487,551.0,564.0,475.0,496.0,1011.0,502.0,472.0,490
březen,509.0,590.0,568.0,517.0,533.0,497,495.0,659.0,529.0,535.0,932.0,590.0,482.0,467
duben,449.0,548.0,561.0,450.0,504.0,445,487.0,496.0,502.0,455.0,548.0,547.0,490.0,457
květen,491.0,485.0,486.0,441.0,440.0,470,496.0,449.0,490.0,447.0,492.0,446.0,500.0,459
červen,443.0,456.0,480.0,441.0,407.0,424,431.0,464.0,462.0,448.0,433.0,473.0,460.0,443
červenec,470.0,456.0,486.0,450.0,460.0,452,404.0,463.0,462.0,503.0,464.0,477.0,452.0,471
srpen,443.0,424.0,455.0,443.0,516.0,454,418.0,510.0,448.0,469.0,484.0,483.0,490.0,490
září,457.0,448.0,397.0,449.0,460.0,432,426.0,442.0,480.0,485.0,472.0,462.0,456.0,471
říjen,473.0,487.0,497.0,479.0,456.0,477,476.0,462.0,491.0,767.0,514.0,545.0,514.0,509
listopad,499.0,456.0,435.0,472.0,472.0,461,486.0,439.0,521.0,825.0,621.0,444.0,475.0,435
prosinec,526.0,461.0,468.0,521.0,493.0,554,473.0,534.0,502.0,675.0,640.0,660.0,581.0,605
