Měsíc,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
leden,361.0,400.0,414.0,367.0,461.0,397,467.0,416.0,414.0,418.0,701.0,484.0,475.0,460
únor,395.0,364.0,387.0,326.0,427.0,372,426.0,441.0,401.0,398.0,585.0,423.0,412.0,405
březen,377.0,382.0,427.0,366.0,404.0,418,404.0,531.0,414.0,421.0,818.0,411.0,431.0,423
duben,347.0,371.0,366.0,377.0,378.0,357,398.0,368.0,360.0,385.0,470.0,443.0,353.0,359
květen,361.0,371.0,380.0,340.0,391.0,352,379.0,344.0,374.0,332.0,402.0,394.0,347.0,371
červen,327.0,350.0,366.0,334.0,346.0,369,361.0,369.0,346.0,355.0,355.0,353.0,362.0,344
červenec,351.0,358.0,366.0,346.0,351.0,347,343.0,350.0,390.0,365.0,399.0,364.0,357.0,345
srpen,346.0,364.0,343.0,360.0,364.0,361,378.0,359.0,364.0,383.0,360.0,376.0,386.0,403
září,307.0,353.0,328.0,345.0,337.0,322,370.0,361.0,360.0,369.0,372.0,389.0,346.0,367
říjen,350.0,356.0,346.0,382.0,407.0,351,394.0,382.0,400.0,571.0,385.0,415.0,403.0,452
listopad,360.0,347.0,328.0,369.0,329.0,336,366.0,370.0,381.0,622.0,458.0,453.0,432.0,370
prosinec,346.0,370.0,372.0,434.0,363.0,403,421.0,414.0,403.0,633.0,575.0,508.0,431.0,431
