Měsíc,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
leden,1214.0,1117.0,1204.0,1115.0,1373.0,1159,1543.0,1118.0,1251.0,1261.0,2128.0,1395.0,1398.0,1332
únor,1099.0,1132.0,1196.0,1007.0,1190.0,1131,1208.0,1175.0,1200.0,1207.0,1447.0,1338.0,1131.0,1239
březen,1171.0,1254.0,1331.0,1195.0,1206.0,1125,1138.0,1525.0,1246.0,1276.0,1791.0,1357.0,1200.0,1142
duben,1131.0,1215.0,1067.0,1095.0,1117.0,1064,1081.0,1117.0,1131.0,1183.0,1513.0,1248.0,1127.0,1022
květen,1095.0,1074.0,1042.0,1088.0,1064.0,1101,1104.0,1094.0,1105.0,1120.0,1185.0,1155.0,1054.0,1043
červen,1024.0,1036.0,976.0,1001.0,982.0,1005,1017.0,1021.0,1086.0,1059.0,1118.0,1035.0,1003.0,1030
červenec,1066.0,1086.0,1123.0,1074.0,1081.0,1072,1008.0,1161.0,1120.0,1171.0,1049.0,1143.0,1001.0,1129
srpen,1086.0,1013.0,975.0,1099.0,1117.0,989,1127.0,1079.0,1101.0,1182.0,1093.0,1195.0,1120.0,1079
září,1017.0,995.0,1032.0,1018.0,1064.0,995,995.0,1004.0,1056.0,1110.0,1110.0,1196.0,1035.0,1120
říjen,1168.0,1108.0,1103.0,1136.0,1136.0,1106,1122.0,1093.0,1167.0,1574.0,1240.0,1222.0,1191.0,1217
listopad,1083.0,986.0,1069.0,1018.0,1110.0,1055,1089.0,1075.0,1088.0,1844.0,1750.0,1100.0,1106.0,1062
prosinec,1230.0,1132.0,1166.0,1271.0,1110.0,1331,1128.0,1187.0,1211.0,1980.0,1901.0,1535.0,1309.0,1188
