Měsíc,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
leden,578.0,579.0,646.0,547.0,650.0,577,810.0,590.0,606.0,638.0,1043.0,677.0,735.0,622
únor,577.0,577.0,599.0,519.0,672.0,613,609.0,643.0,615.0,593.0,725.0,657.0,564.0,599
březen,604.0,606.0,657.0,525.0,641.0,585,593.0,779.0,617.0,635.0,896.0,722.0,631.0,553
duben,512.0,605.0,559.0,502.0,603.0,551,560.0,586.0,559.0,573.0,724.0,668.0,559.0,544
květen,508.0,568.0,527.0,554.0,554.0,556,580.0,515.0,524.0,537.0,611.0,572.0,521.0,554
červen,544.0,492.0,544.0,503.0,506.0,526,544.0,544.0,563.0,570.0,529.0,518.0,554.0,518
červenec,562.0,545.0,577.0,504.0,562.0,493,550.0,535.0,574.0,523.0,550.0,568.0,538.0,550
srpen,497.0,558.0,581.0,501.0,566.0,535,516.0,556.0,597.0,601.0,550.0,599.0,553.0,565
září,484.0,528.0,501.0,566.0,485.0,500,539.0,521.0,542.0,593.0,513.0,570.0,461.0,562
říjen,595.0,537.0,538.0,573.0,560.0,564,577.0,589.0,549.0,895.0,658.0,609.0,551.0,605
listopad,535.0,532.0,519.0,523.0,559.0,564,560.0,525.0,583.0,1039.0,875.0,585.0,618.0,624
prosinec,563.0,574.0,582.0,644.0,642.0,667,595.0,569.0,585.0,929.0,888.0,736.0,696.0,671
