Měsíc,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
leden,481.0,513.0,520.0,416.0,531.0,475,642.0,492.0,529.0,505.0,754.0,581.0,536.0,445
únor,456.0,465.0,475.0,384.0,517.0,397,495.0,494.0,481.0,444.0,789.0,503.0,461.0,492
březen,500.0,496.0,574.0,453.0,502.0,459,493.0,623.0,492.0,459.0,933.0,473.0,464.0,464
duben,450.0,465.0,535.0,451.0,417.0,457,452.0,462.0,457.0,458.0,587.0,501.0,427.0,476
květen,474.0,399.0,398.0,411.0,399.0,435,407.0,432.0,473.0,476.0,472.0,451.0,440.0,432
červen,381.0,397.0,436.0,426.0,391.0,434,418.0,364.0,431.0,433.0,393.0,467.0,432.0,395
červenec,417.0,475.0,398.0,449.0,415.0,418,344.0,455.0,448.0,449.0,409.0,438.0,400.0,440
srpen,450.0,436.0,386.0,388.0,494.0,385,393.0,442.0,445.0,490.0,440.0,487.0,415.0,416
září,438.0,444.0,409.0,401.0,398.0,420,415.0,419.0,428.0,513.0,432.0,504.0,411.0,446
říjen,456.0,426.0,408.0,438.0,478.0,462,467.0,447.0,458.0,680.0,500.0,532.0,476.0,499
listopad,411.0,428.0,407.0,421.0,412.0,446,400.0,428.0,433.0,779.0,635.0,488.0,462.0,478
prosinec,451.0,459.0,446.0,485.0,486.0,446,463.0,470.0,483.0,697.0,647.0,624.0,503.0,459
