Měsíc,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
leden,490.0,513.0,522.0,478.0,585.0,537,713.0,565.0,563.0,589.0,835.0,636.0,609.0,603
únor,525.0,512.0,484.0,452.0,632.0,486,595.0,549.0,602.0,564.0,932.0,602.0,471.0,560
březen,502.0,534.0,564.0,573.0,631.0,562,520.0,697.0,581.0,540.0,1118.0,630.0,555.0,533
duben,505.0,532.0,613.0,478.0,551.0,511,418.0,501.0,498.0,518.0,658.0,529.0,494.0,532
květen,490.0,513.0,465.0,466.0,500.0,516,519.0,463.0,489.0,533.0,523.0,515.0,453.0,503
červen,420.0,482.0,471.0,514.0,437.0,496,474.0,476.0,481.0,514.0,478.0,486.0,475.0,487
červenec,476.0,482.0,505.0,451.0,488.0,522,448.0,558.0,544.0,457.0,494.0,492.0,485.0,483
srpen,485.0,458.0,458.0,433.0,504.0,484,461.0,500.0,506.0,504.0,461.0,532.0,487.0,477
září,465.0,422.0,473.0,463.0,477.0,455,469.0,444.0,497.0,555.0,507.0,579.0,472.0,475
říjen,504.0,496.0,497.0,482.0,532.0,505,548.0,521.0,556.0,740.0,552.0,541.0,494.0,568
listopad,550.0,511.0,494.0,455.0,482.0,511,518.0,504.0,513.0,831.0,639.0,504.0,507.0,496
prosinec,476.0,548.0,515.0,516.0,488.0,568,559.0,498.0,526.0,721.0,715.0,652.0,609.0,539
