Měsíc,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
leden,1129.0,1165.0,1190.0,1064.0,1205.0,1106,1327.0,1042.0,1122.0,1104.0,1569.0,1124.0,1245.0,1114
únor,983.0,1135.0,1052.0,926.0,1159.0,966,1037.0,1131.0,1032.0,1081.0,1474.0,1118.0,949.0,1024
březen,1094.0,1083.0,1119.0,1091.0,1096.0,1048,1092.0,1235.0,1062.0,1144.0,1763.0,1069.0,1085.0,932
duben,988.0,1013.0,1047.0,949.0,1043.0,1024,936.0,1071.0,924.0,1057.0,1150.0,1047.0,973.0,918
květen,901.0,992.0,1005.0,946.0,1014.0,999,983.0,1034.0,1027.0,936.0,974.0,992.0,961.0,908
červen,923.0,1021.0,951.0,963.0,929.0,940,901.0,911.0,966.0,961.0,951.0,958.0,925.0,933
červenec,975.0,994.0,1004.0,1083.0,1096.0,987,885.0,994.0,996.0,986.0,956.0,1047.0,886.0,964
srpen,958.0,972.0,971.0,909.0,1075.0,1009,941.0,1073.0,1022.0,1050.0,944.0,1031.0,1002.0,986
září,992.0,942.0,923.0,966.0,912.0,867,951.0,949.0,938.0,1019.0,974.0,1014.0,902.0,985
říjen,1005.0,1006.0,980.0,1036.0,976.0,1036,1029.0,995.0,1037.0,1420.0,1092.0,1072.0,1053.0,1031
listopad,1039.0,979.0,917.0,1035.0,906.0,1005,1035.0,979.0,997.0,1519.0,1241.0,1042.0,1033.0,980
prosinec,1105.0,1109.0,990.0,1150.0,1009.0,1154,1082.0,1003.0,1055.0,1344.0,1372.0,1296.0,1198.0,1017
