Měsíc,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
leden,1141.0,1109.0,1187.0,1089.0,1373.0,1089,1402.0,1122.0,1258.0,1187.0,1895.0,1357.0,1273.0,1290
únor,1072.0,1101.0,1118.0,942.0,1236.0,1089,1162.0,1294.0,1213.0,1264.0,1741.0,1198.0,1123.0,1171
březen,1197.0,1173.0,1176.0,1127.0,1200.0,1147,1105.0,1490.0,1145.0,1160.0,2112.0,1195.0,1187.0,1109
duben,1046.0,1097.0,1177.0,962.0,1061.0,1040,1077.0,1119.0,1133.0,1077.0,1426.0,1140.0,1157.0,1042
květen,969.0,1056.0,1041.0,1016.0,1040.0,1063,1038.0,998.0,1133.0,975.0,1131.0,1111.0,1114.0,1045
červen,947.0,1031.0,1021.0,940.0,944.0,1009,994.0,1027.0,1072.0,1077.0,1058.0,1073.0,1069.0,1086
červenec,995.0,1012.0,1108.0,1038.0,1078.0,996,1038.0,1189.0,1087.0,1169.0,1016.0,1109.0,1056.0,1057
srpen,1013.0,1013.0,956.0,983.0,1122.0,1037,1036.0,1004.0,990.0,1145.0,989.0,1134.0,1094.0,1161
září,960.0,945.0,1007.0,1012.0,966.0,952,1064.0,1074.0,1042.0,1153.0,1114.0,1144.0,1011.0,1122
říjen,1080.0,988.0,1043.0,1081.0,1084.0,1045,1151.0,1087.0,1099.0,1630.0,1150.0,1253.0,1192.0,1217
listopad,1027.0,1045.0,1037.0,1008.0,957.0,1036,1096.0,1086.0,1127.0,1798.0,1464.0,1150.0,1195.0,1145
prosinec,1174.0,1182.0,1053.0,1103.0,988.0,1192,1085.0,1197.0,1172.0,1667.0,1612.0,1487.0,1294.0,1309
