Měsíc,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
leden,805.0,842.0,866.0,781.0,899.0,756,971.0,796.0,869.0,790.0,1301.0,912.0,1025.0,909
únor,759.0,764.0,867.0,725.0,904.0,753,806.0,863.0,828.0,791.0,1128.0,812.0,799.0,845
březen,828.0,833.0,879.0,758.0,840.0,838,790.0,970.0,813.0,874.0,1597.0,847.0,800.0,772
duben,742.0,735.0,784.0,725.0,714.0,748,734.0,765.0,801.0,750.0,1037.0,783.0,789.0,729
květen,693.0,688.0,778.0,720.0,721.0,660,746.0,759.0,729.0,732.0,827.0,771.0,723.0,773
červen,658.0,687.0,722.0,681.0,674.0,642,695.0,687.0,709.0,719.0,685.0,696.0,713.0,757
červenec,682.0,712.0,747.0,721.0,771.0,732,708.0,783.0,761.0,773.0,743.0,730.0,731.0,766
srpen,728.0,743.0,687.0,757.0,799.0,752,696.0,765.0,764.0,748.0,730.0,768.0,743.0,703
září,645.0,715.0,720.0,748.0,713.0,733,753.0,694.0,701.0,784.0,722.0,795.0,682.0,743
říjen,784.0,736.0,747.0,741.0,741.0,803,797.0,685.0,746.0,1231.0,845.0,889.0,749.0,823
listopad,692.0,710.0,708.0,697.0,712.0,785,701.0,758.0,723.0,1367.0,1017.0,823.0,842.0,801
prosinec,825.0,794.0,772.0,792.0,750.0,856,775.0,813.0,764.0,1234.0,1143.0,1053.0,921.0,872
