Měsíc,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
leden,479.0,483.0,476.0,420.0,545.0,472,566.0,456.0,512.0,478.0,742.0,494.0,578.0,495
únor,456.0,483.0,478.0,356.0,512.0,452,470.0,469.0,496.0,420.0,491.0,467.0,439.0,512
březen,443.0,490.0,469.0,407.0,454.0,429,469.0,539.0,474.0,531.0,755.0,532.0,494.0,415
duben,415.0,440.0,462.0,425.0,451.0,437,391.0,405.0,450.0,445.0,545.0,520.0,433.0,418
květen,450.0,427.0,432.0,402.0,414.0,396,417.0,455.0,463.0,413.0,507.0,449.0,441.0,431
červen,363.0,378.0,408.0,397.0,369.0,380,423.0,369.0,482.0,441.0,419.0,405.0,434.0,435
červenec,398.0,412.0,393.0,398.0,402.0,406,387.0,407.0,428.0,432.0,409.0,475.0,393.0,444
srpen,411.0,428.0,373.0,409.0,412.0,378,406.0,429.0,454.0,450.0,402.0,474.0,410.0,465
září,364.0,387.0,386.0,378.0,378.0,377,422.0,426.0,453.0,452.0,453.0,481.0,408.0,411
říjen,383.0,450.0,429.0,401.0,417.0,412,471.0,419.0,473.0,803.0,487.0,510.0,449.0,488
listopad,452.0,416.0,415.0,412.0,412.0,373,396.0,426.0,478.0,860.0,537.0,490.0,442.0,425
prosinec,417.0,429.0,408.0,475.0,412.0,485,470.0,477.0,473.0,725.0,691.0,564.0,545.0,469
