Měsíc,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
leden,535.0,510.0,615.0,553.0,573.0,542,757.0,525.0,616.0,558.0,897.0,633.0,619.0,592
únor,510.0,531.0,633.0,478.0,621.0,547,590.0,548.0,548.0,566.0,606.0,611.0,522.0,571
březen,548.0,522.0,599.0,515.0,563.0,575,584.0,642.0,534.0,576.0,798.0,641.0,556.0,570
duben,505.0,572.0,543.0,514.0,538.0,490,504.0,548.0,534.0,512.0,696.0,565.0,533.0,463
květen,514.0,517.0,507.0,517.0,503.0,498,468.0,498.0,488.0,541.0,549.0,497.0,495.0,503
červen,458.0,459.0,543.0,416.0,478.0,489,441.0,453.0,477.0,572.0,540.0,477.0,443.0,513
červenec,502.0,484.0,510.0,505.0,518.0,488,531.0,491.0,481.0,525.0,521.0,511.0,501.0,493
srpen,518.0,516.0,509.0,511.0,512.0,472,526.0,549.0,513.0,547.0,523.0,517.0,479.0,524
září,482.0,437.0,441.0,525.0,462.0,468,460.0,506.0,510.0,573.0,507.0,522.0,460.0,483
říjen,502.0,447.0,468.0,524.0,522.0,519,509.0,540.0,520.0,898.0,590.0,557.0,496.0,494
listopad,509.0,514.0,475.0,516.0,512.0,524,475.0,499.0,499.0,1001.0,895.0,511.0,549.0,553
prosinec,588.0,584.0,511.0,546.0,488.0,582,544.0,539.0,571.0,925.0,862.0,653.0,623.0,547
